run_name,task_id,phase,model_type,dataset,output_dim,stage,epochs_trained,best_epoch,train_rmse_px,val_rmse_px,test_rmse_px,epoch_time_sec_mean,total_time_sec,optimizer,lr,backbone_lr,weight_decay,batch_size,dropout,augmentation,unfreeze_last_n_blocks,seed,notes
phase1_mlp,1.0,1,mlp,A,8,single,99,84,2.7976,3.8623,,37.77,3742.25,adam,0.001,,0.0,64,0.0,none,0,42,"Stage 1 MLP baseline, Dataset A (4 keypoints, 8 coords), no augmentation."
phase2_cnn,2.0,2,simple_cnn,A,8,single,37,22,1.8821,3.3838,,35.33,1312.86,adam,0.001,,0.0,64,0.0,none,0,42,"Stage 2 simple CNN baseline, Dataset A, no augmentation."
